Game,description location
Worldle,game-descs/worldle.txt
Globle,game-descs/globle.txt
Globle-capitals,game-descs/globle-capitals.txt
Dinosaur Game,game-descs/dino-game.txt
Edge Surfer,game-descs/edge-surf.txt
Hole.io,game-descs/hole.txt
Agar.io,game-descs/agar.txt
Slither.io,game-descs/slither.txt
2048,game-descs/2048.txt
Wordle,game-descs/wordle.txt
Spelling Bee,game-descs/spelling.txt
Connections,game-descs/connections.txt
Semantle,game-descs/semantle.txt
Tetr.io,game-descs/tetrio.txt
Suika Game,game-descs/suika.txt
Bandle,game-descs/bandle.txt
